"filename", "language", "C#", "aspnetcorerazor", "JSON", "Markdown", "XML", "HTML", "TypeScript React", "TypeScript", "CSS", "comment", "blank", "total"
"/Users/egallardo/Documents/DotNetTemplates/DotNetTemplates/ClientApp/.eslintrc.json", "JSON", 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 7
"/Users/egallardo/Documents/DotNetTemplates/DotNetTemplates/ClientApp/README.md", "Markdown", 0, 0, 0, 1535, 0, 0, 0, 0, 0, 0, 694, 2229
"/Users/egallardo/Documents/DotNetTemplates/DotNetTemplates/ClientApp/package-lock.json", "JSON", 0, 0, 15612, 0, 0, 0, 0, 0, 0, 0, 1, 15613
"/Users/egallardo/Documents/DotNetTemplates/DotNetTemplates/ClientApp/package.json", "JSON", 0, 0, 59, 0, 0, 0, 0, 0, 0, 0, 1, 60
"/Users/egallardo/Documents/DotNetTemplates/DotNetTemplates/ClientApp/public/index.html", "HTML", 0, 0, 0, 0, 0, 18, 0, 0, 0, 23, 1, 42
"/Users/egallardo/Documents/DotNetTemplates/DotNetTemplates/ClientApp/public/manifest.json", "JSON", 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 1, 16
"/Users/egallardo/Documents/DotNetTemplates/DotNetTemplates/ClientApp/src/App.test.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 3, 23
"/Users/egallardo/Documents/DotNetTemplates/DotNetTemplates/ClientApp/src/App.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 3, 17
"/Users/egallardo/Documents/DotNetTemplates/DotNetTemplates/ClientApp/src/components/Counter.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 29, 0, 0, 0, 7, 36
"/Users/egallardo/Documents/DotNetTemplates/DotNetTemplates/ClientApp/src/components/FetchData.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 71, 0, 0, 3, 11, 85
"/Users/egallardo/Documents/DotNetTemplates/DotNetTemplates/ClientApp/src/components/Home.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 3, 24
"/Users/egallardo/Documents/DotNetTemplates/DotNetTemplates/ClientApp/src/components/Layout.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 2, 13
"/Users/egallardo/Documents/DotNetTemplates/DotNetTemplates/ClientApp/src/components/NavMenu.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 4, 14
"/Users/egallardo/Documents/DotNetTemplates/DotNetTemplates/ClientApp/src/components/NavMenu.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 39, 0, 0, 0, 4, 43
"/Users/egallardo/Documents/DotNetTemplates/DotNetTemplates/ClientApp/src/custom.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 11, 1, 3, 15
